Device_ID,key,Valid,District,Road_EN,Direction,description
ALPR90002,TDS90079,FALSE,Yeun Long,San Tin Highway,South,San Tin Highway near Geranium Path - Northbound [TDS90079]
ALPR90002,TDS91064,TRUE,Yeun Long,San Tin Highway,South,San Tin Highway near Geranium Path - Southbound [TDS91064]
ALPR90005,TDS90025,TRUE,Tsuen Wan,Tuen Mun Road,North West,Tuen Mun Road near Sham Tseng - Westbound (1) [TDS90025]
ALPR90005,TDS91009,FALSE,Tsuen Wan,Tuen Mun Road,North West,Tuen Mun Road near Sham Tseng - Eastbound (1) [TDS91009]
ALPR90005-2,TDS90025,TRUE,Tsuen Wan,Tuen Mun Road,North West,Tuen Mun Road near Sham Tseng - Westbound (1) [TDS90025]
ALPR90005-2,TDS91009,FALSE,Tsuen Wan,Tuen Mun Road,North West,Tuen Mun Road near Sham Tseng - Eastbound (1) [TDS91009]
CPR10001,TDS90073,FALSE,Yuen Long,Castle Peak Rd-Tam Mi,North,San Tin Highway near Sha Po Tsuen - Northbound [TDS90073]
CPRLT10001,TDSCPRLT10001,TRUE,Yeun Long,Castle Peak Rd-Lam Tei,North East,Castle Peak Rd-Lam Tei near Lam Tei Interchange - Northbound [TDSCPRLT10001]
CPRLT20001,TDSCPRLT10001,FALSE,Yeun Long,Castle Peak Rd-Lam Tei,South West,Castle Peak Rd-Lam Tei near Lam Tei Interchange - Northbound [TDSCPRLT10001]
CPRLT20001,TDSCPRLT20001,TRUE,Yeun Long,Castle Peak Rd-Lam Tei,South West,Castle Peak Rd-Lam Tei near Lam Tei Main Street - Southbound [TDSCPRLT20001]
CWBR10001,TDSNCWBR20004,TRUE,Sai Kung,Clear Water Bay Road,North West,New Clear Water Bay Road near On Sau Road - Westbound [TDSNCWBR20004]
JCR10001,NH101F,FALSE,North,Jockey Club Road,South East,Jockey Club Road near Fanling Highway [NH101F]
JCR10001,AID09251,FALSE,North,Jockey Club Road,South East,Fanling Highway near Dawning Views - Westbound [AID09251]
JCR10001,TDSJCR10002,TRUE,North,Jockey Club Road,South East,Jockey Club Road near Fanling Highway - Southbound [TDSJCR10002]
JCR10001,TDSJCR20002,FALSE,North,Jockey Club Road,South East,Jockey Club Road near Fanling Highway - Northbound [TDSJCR20002]
PFLR20001,H130F,TRUE,Central and Western,Pok Fu Lam Road,South,Pok Fu Lam Road near Pokfield Road [H130F]
TCS01101-1,AID01108,FALSE,Wan Chai,Wong Nai Chung Gap Flyover,North West,Wong Nai Chung Gap Flyover near Racecourse - Northbound [AID01108]
TCS01101-2,AID01108,TRUE,Wan Chai,Wong Nai Chung Gap Flyover,North West,Wong Nai Chung Gap Flyover near Racecourse - Northbound [AID01108]
TCS01102,AID01114,TRUE,Kowloon City,Princess Margaret Road,North West,Princess Margaret Road near Oi Man Estate - Northbound [AID01114]
TCS01102,AID01210,FALSE,Kowloon City,Princess Margaret Road,North West,Princess Margaret Road near Oi Man Estate - Southbound [AID01210]
TCS01103,AID01124,TRUE,Sha Tin,Lion Rock Tunnel Road,North East,Lion Rock Tunnel Road near Toll Plaza - Northbound [AID01124]
TCS01103,TDS10013,FALSE,Sha Tin,Lion Rock Tunnel Road,North East,Lion Rock Tunnel Road near Union Hospital - Southbound [TDS10013]
TCS01202,AID01114,FALSE,Kowloon City,Princess Margaret Road,South West,Princess Margaret Road near Oi Man Estate - Northbound [AID01114]
TCS01202,AID01210,TRUE,Kowloon City,Princess Margaret Road,South West,Princess Margaret Road near Oi Man Estate - Southbound [AID01210]
TCS02101-1,AID04214,FALSE,Eastern,Eastern Harbour Crossing,South West,Island Eastern Corridor near Quarry Bay Park Phase 2 - Westbound [AID04214]
TCS02101-1,AID04222,FALSE,Eastern,Eastern Harbour Crossing,South West,Island Eastern Corridor near EHC - Westbound [AID04222]
TCS02101-2,AID04222,FALSE,Eastern,Eastern Harbour Crossing,South West,Island Eastern Corridor near EHC - Westbound [AID04222]
TCS02101-2,AID04213,FALSE,Eastern,Eastern Harbour Crossing,South West,Island Eastern Corridor near Quarry Bay Park Phase 1 - Westbound (2) [AID04213]
TCS02102,AID02112,FALSE,Kwun Tong,Kwun Tong Bypass,West,Kwun Tong Bypass near Kai Tak Fire Station - Northbound [AID02112]
TCS02102,AID02207,FALSE,Kwun Tong,Kwun Tong Bypass,West,Kwun Tong Bypass near Vehicle Examination Centre - Southbound [AID02207]
TCS02102,AID05103,FALSE,Kwun Tong,Kwun Tong Bypass,West,Kai Fuk Road near Kowloon Bay Vehicle Examination Centre - Westbound [AID05103]
TCS02102,AID05234,FALSE,Kwun Tong,Kwun Tong Bypass,West,Kai Fuk Road near Kowloon Bay Vehicle Examination Centre - Eastbound [AID05234]
TCS02103,AID02201,FALSE,Wong Tai Sin,Tate's Cairn Tunnel,North East,Tate's Cairn Highway near Chi Lin Nunnery - Southbound [AID02201]
TCS02201-2,AID04213,FALSE,Eastern,Eastern Harbour Crossing,South East,Island Eastern Corridor near Quarry Bay Park Phase 1 - Westbound (2) [AID04213]
TCS02201-2,AID04111,TRUE,Eastern,Eastern Harbour Crossing,South East,Island Eastern Corridor near Quarry Bay Park Phase 1 - Eastbound [AID04111]
TCS02202,AID02113,FALSE,Kwun Tong,Kwun Tong Bypass,South East,Kwun Tong Bypass near MegaBox - Northbound [AID02113]
TCS02202,AID02206,TRUE,Kwun Tong,Kwun Tong Bypass,South East,Kwun Tong Bypass near MegaBox - Southbound [AID02206]
